cid,nlane,turn,dnroad,geom,len,Up_Node,Down_Node,is_in,Count,Count1
4742_4794,3,S#R#L#U,4794_4899#4794_9173#4794_4713#4794_4742,"LINESTRING (118.721537826 30.9448980450001, 118.720732459 30.9464968670001)",193.2447655,4742,4794,1.0,4174.0,4166.0
4745_4663,2,S#R#U,4663_4615#4663_4642#4663_4745,"LINESTRING (118.773995411 30.944222605, 118.77447933 30.9435259380001, 118.775538478 30.942211458, 118.776539053 30.9409884510001, 118.776948418 30.9404856200001)",501.4776751,4745,4663,1.0,4175.0,4175.0
4745_4732,4,L#S#U#R,4732_4634#4732_4724#4732_4745#4732_4881,"LINESTRING (118.773995411 30.944222605, 118.77373568 30.944208776, 118.772181195 30.944129886, 118.770793649 30.944058281, 118.770500435 30.944040392, 118.770363767 30.9440320530001, 118.770190601 30.944021488, 118.769451056 30.943976364, 118.769074635 30.9439650690001, 118.768938047 30.9439434610001, 118.768458983 30.943911203, 118.768016088 30.943899801)",572.6451471,4745,4732,1.0,4175.0,4175.0
4758_4745,0,L#S#U,4745_4663#4745_4732#4745_4758,"LINESTRING (118.780151072 30.944602473, 118.778564706 30.9445051700001, 118.777133981 30.9444102780001, 118.776776816 30.944386589, 118.77543619 30.944309618, 118.774984095 30.944275244, 118.773995411 30.944222605)",589.7528185,4758,4745,1.0,4175.0,4169.0
4758_4832,4,S#U#R#L,4832_4918#4832_4758#4832_4852#4832_8365,"LINESTRING (118.780151072 30.944602473, 118.779618277 30.9471851870001)",290.8327739,4758,4832,1.0,4174.0,4169.0
4779_4758,4,S#R#U#L,4758_4745#4758_4832#4758_4779#4758_8363,"LINESTRING (118.78561444 30.9449172930001, 118.783998309 30.9448143720001, 118.782113417 30.9447091120001, 118.780151072 30.944602473)",523.2464643,4779,4758,1.0,4169.0,4174.0
4779_4852,0,L#S#U,4852_4832#4852_4942#4852_4779,"LINESTRING (118.78561444 30.9449172930001, 118.785270957 30.94797349)",340.4221227,4779,4852,1.0,4174.0,4174.0
4779_8364,0,S#R#U,8364_4615#8364_8363#8364_4779,"LINESTRING (118.78561444 30.9449172930001, 118.785698754 30.944477728, 118.785854088 30.9433583430001, 118.785853054 30.9428476620001, 118.785681735 30.941748277, 118.785463947 30.940945325)",445.4073033,4779,8364,1.0,4174.0,4174.0
4794_4899,0,S#U#L,4899_4972#4899_4794#4899_8350,"LINESTRING (118.720732459 30.9464968670001, 118.718842415 30.9503003290001)",458.7327063,4794,4899,1.0,4175.0,4174.0
4794_9173,0,R#S#U,9173_4708#9173_4920#9173_4794,"LINESTRING (118.720732459 30.9464968670001, 118.721056801 30.9465919530001, 118.721516925 30.946722956, 118.722151584 30.9468633110001, 118.7228806 30.947020186, 118.723605074 30.94720506, 118.724030555 30.947329666, 118.724287999 30.9474107300001, 118.724817117 30.947611265, 118.725274108 30.947814592)",459.1610623,4794,9173,1.0,4174.0,4174.0
4802_4645,4,S#L#R#U,4645_4607#4645_4666#4645_4609#4645_4802,"LINESTRING (118.70831375 30.946824792, 118.708748748 30.9458840080001, 118.709330588 30.9445521050001, 118.709831714 30.943546354, 118.71059719 30.9422299120001, 118.711031864 30.9415739830001, 118.711446785 30.9409749810001, 118.712150106 30.9400560190001, 118.712270196 30.9398837000001)",860.1179176,4802,4645,1.0,4175.0,4172.0
4806_4697,4,S#R#L#U,4697_4651#4697_4694#4697_4706#4697_4806,"LINESTRING (118.751063137 30.9463499120001, 118.751139743 30.942927324)",379.5278487,4806,4697,1.0,4132.0,4174.0
